concept,priority,status,notes
map-is-not-the-territory,1,todo,"Korzybski — level 4, link: sapir-whorf-korzybski-hypothesis"
continued-influence-effect,2,needs-enrich,"L2 · 17w · 0 links · 1 refs"
contrast-effect,2,needs-enrich,"L2 · 25w · 0 links · 1 refs"
cross-race-effect,2,needs-enrich,"L2 · 25w · 0 links · 1 refs"
cryptomnesia,2,needs-enrich,"L2 · 26w · 0 links · 1 refs"
cue-dependent-forgetting,2,needs-enrich,"L2 · 35w · 0 links · 1 refs"
curse-of-knowledge,2,needs-enrich,"L2 · 19w · 0 links · 1 refs"
declinism,2,needs-enrich,"L2 · 25w · 0 links · 1 refs"
decoy-effect,2,needs-enrich,"L2 · 41w · 0 links · 1 refs"
defensive-attribution-hypothesis,2,needs-enrich,"L2 · 33w · 0 links · 1 refs"
denomination-effect,2,needs-enrich,"L2 · 22w · 0 links · 1 refs"
disposition-effect,2,needs-enrich,"L2 · 19w · 0 links · 1 refs"
distinction-bias,2,needs-enrich,"L2 · 27w · 0 links · 1 refs"
dunning-kruger-effect,2,needs-enrich,"L2 · 23w · 0 links · 1 refs"
duration-neglect,2,needs-enrich,"L2 · 26w · 0 links · 1 refs"
effort-justification,2,needs-enrich,"L2 · 17w · 0 links · 1 refs"
egocentric-bias,2,needs-enrich,"L2 · 29w · 0 links · 1 refs"
empathy-gap,2,needs-enrich,"L2 · 22w · 0 links · 1 refs"
endowment-effect,2,needs-enrich,"L2 · 23w · 0 links · 1 refs"
escalation-of-commitment,2,needs-enrich,"L2 · 36w · 0 links · 1 refs"
essentialism,2,needs-enrich,"L2 · 20w · 0 links · 1 refs"
extension-neglect,2,needs-enrich,"L2 · 37w · 0 links · 1 refs"
extrinsic-incentive-error,2,needs-enrich,"L2 · 17w · 0 links · 1 refs"
fading-affect-bias,2,needs-enrich,"L2 · 48w · 0 links · 1 refs"
false-consensus-effect,2,needs-enrich,"L2 · 22w · 0 links · 1 refs"
focalism,2,needs-enrich,"L2 · 25w · 0 links · 1 refs"
framing-effect,2,needs-enrich,"L2 · 62w · 0 links · 1 refs"
frequency-illusion,2,needs-enrich,"L2 · 47w · 0 links · 1 refs"
functional-fixedness,2,needs-enrich,"L2 · 36w · 0 links · 1 refs"
fundamental-attribution-error,2,needs-enrich,"L2 · 34w · 0 links · 1 refs"
gamblers-fallacy,2,needs-enrich,"L2 · 30w · 0 links · 1 refs"
generation-effect,2,needs-enrich,"L2 · 17w · 0 links · 1 refs"
group-attribution-error,2,needs-enrich,"L2 · 19w · 0 links · 1 refs"
halo-effect,2,needs-enrich,"L2 · 17w · 0 links · 1 refs"
hanlons-razor,2,todo,"Razor — level 2, link: fundamental-attribution-error"
hard-easy-effect,2,needs-enrich,"L2 · 18w · 0 links · 1 refs"
hindsight-bias,2,needs-enrich,"L2 · 20w · 0 links · 1 refs"
hot-hand-fallacy,2,needs-enrich,"L2 · 20w · 0 links · 1 refs"
hyperbolic-discounting,2,needs-enrich,"L2 · 32w · 0 links · 1 refs"
identifiable-victim-effect,2,needs-enrich,"L2 · 22w · 0 links · 1 refs"
